264,20201011085039chantale,1000215,19,0.2,3.8,10/11/2020,8,chantale
265,20201011085039chantale,1000221,3,0.1,0.3,10/11/2020,8,chantale
266,20201011085207chantale,1000258,1,0.5,0.5,10/11/2020,8,chantale
267,20201011085207chantale,1000152,1,3,3,10/11/2020,8,chantale
268,20201011085207chantale,1000131,1,3.5,3.5,10/11/2020,8,chantale
269,20201011085454chantale,1000030,1,0.5,0.5,10/11/2020,8,chantale
270,20201011085454chantale,1000142,1,4,4,10/11/2020,8,chantale
271,20201011085454chantale,1000242,1,1.25,1.25,10/11/2020,8,chantale
272,20201011085617chantale,1000078,1,5,5,10/11/2020,8,chantale
273,20201011085852chantale,1000025,1,2.5,2.5,10/11/2020,8,chantale
274,20201011085852chantale,1000049,1,0.35,0.35,10/11/2020,8,chantale
275,20201011085852chantale,1000021,1,0.85,0.85,10/11/2020,8,chantale
276,20201011085852chantale,1000051,3,0.35,1.05,10/11/2020,8,chantale
277,20201011085852chantale,1000037,1,1,1,10/11/2020,8,chantale
278,20201011085952chantale,1000049,2,0.35,0.7,10/11/2020,8,chantale
279,20201011090046chantale,1000001,1,2,2,10/11/2020,8,chantale
280,20201011090305chantale,1000258,1,0.5,0.5,10/11/2020,8,chantale
281,20201011090305chantale,1000048,1,0.7,0.7,10/11/2020,8,chantale
282,20201011090305chantale,1000194,1,1,1,10/11/2020,8,chantale
283,20201011090408chantale,1000120,2,1,2,10/11/2020,8,chantale
284,20201011090408chantale,1000030,1,0.5,0.5,10/11/2020,8,chantale
285,20201011090438chantale,1000021,1,0.85,0.85,10/11/2020,8,chantale
286,20201011090446chantale,1000049,1,0.35,0.35,10/11/2020,8,chantale
287,20201011090907chantale,1000283,2,1,2,10/11/2020,8,chantale
288,20201011091019chantale,1000120,2,1,2,10/11/2020,8,chantale
289,20201011091058chantale,1000193,1,0.5,0.5,10/11/2020,8,chantale
290,20201011091203chantale,1000084,1,18,18,10/11/2020,8,chantale
291,20201012111825chantale,1000226,2,1,2,10/12/2020,8,chantale
292,20201012111906chantale,1000001,1,2,2,10/12/2020,8,chantale
293,20201012111946chantale,1000051,1,0.35,0.35,10/12/2020,8,chantale
294,20201012112101chantale,1000032,3,0.5,1.5,10/12/2020,8,chantale
295,20201012112112chantale,1000014,1,0.9,0.9,10/12/2020,8,chantale
296,20201012112302chantale,1000049,1,0.35,0.35,10/12/2020,8,chantale
297,20201012112302chantale,1000021,1,0.85,0.85,10/12/2020,8,chantale
298,20201012112446chantale,1000265,2,0.05,0.1,10/12/2020,8,chantale
299,20201012112604chantale,1000014,1,0.9,0.9,10/12/2020,8,chantale
300,20201012112612chantale,1000049,1,0.35,0.35,10/12/2020,8,chantale
301,20201012112734chantale,1000265,2,0.05,0.1,10/12/2020,8,chantale
302,20201012112826chantale,1000221,1,0.1,0.1,10/12/2020,8,chantale
303,20201012112938chantale,1000191,1,11,11,10/12/2020,8,chantale
304,20201012113130chantale,3000002,4,0.05,0.2,10/12/2020,8,chantale
305,20201012113424chantale,1000248,1,5.5,5.5,10/12/2020,8,chantale
306,20201012113424chantale,1000232,20,0.25,5,10/12/2020,8,chantale
307,20201012113433chantale,1000167,17,0.15,2.55,10/12/2020,8,chantale
308,20201012113851chantale,1000258,1,0.5,0.5,10/12/2020,8,chantale
309,20201012113851chantale,1000215,3,0.2,0.6,10/12/2020,8,chantale
310,20201012113851chantale,1000193,1,0.5,0.5,10/12/2020,8,chantale
311,20201012113924chantale,1000245,1,1,1,10/12/2020,8,chantale
312,20201012113932chantale,1000258,1,0.5,0.5,10/12/2020,8,chantale
313,20201013130750chantale,1000014,1,0.9,0.9,10/13/2020,8,chantale
314,20201013130828chantale,1000051,1,0.35,0.35,10/13/2020,8,chantale
315,20201013130915chantale,1000265,4,0.05,0.2,10/13/2020,8,chantale
316,20201013130946chantale,1000215,1,0.2,0.2,10/13/2020,8,chantale
317,20201013132949chantale,1000006,1,1.25,1.25,10/13/2020,8,chantale
318,20201013133117chantale,1000253,1,0.75,0.75,10/13/2020,8,chantale
319,20201013140907chantale,1000014,1,0.9,0.9,10/13/2020,8,chantale
320,20201013140917chantale,3000006,1,3,3,10/13/2020,8,chantale
321,20201013142659chantale,1000253,1,0.75,0.75,10/13/2020,8,chantale
322,20201013142829chantale,1000016,3,0.5,1.5,10/13/2020,8,chantale
323,20201013143633chantale,1000245,1,1,1,10/13/2020,8,chantale
324,20201013144800chantale,1000033,1,0.5,0.5,10/13/2020,8,chantale
325,20201013145841chantale,1000033,1,0.5,0.5,10/13/2020,8,chantale
326,20201013145848chantale,1000049,2,0.35,0.7,10/13/2020,8,chantale
327,20201013160743chantale,1000049,1,0.35,0.35,10/13/2020,8,chantale
328,20201013160804chantale,1000265,1,0.05,0.05,10/13/2020,8,chantale
329,20201013162106chantale,1000265,2,0.05,0.1,10/13/2020,8,chantale
330,20201013162221chantale,1000194,1,1,1,10/13/2020,8,chantale
331,20201013171018chantale,1000215,2,0.2,0.4,10/13/2020,8,chantale
332,20201013173537chantale,1000265,5,0.05,0.25,10/13/2020,8,chantale
333,20201013173604chantale,1000215,1,0.2,0.2,10/13/2020,8,chantale
334,20201013181028chantale,1000001,6,2,12,10/13/2020,8,chantale
335,20201013181028chantale,1000005,3,2.5,7.5,10/13/2020,8,chantale
336,20201013181028chantale,1000010,3,2.5,7.5,10/13/2020,8,chantale
337,20201013181028chantale,1000100,1,3,3,10/13/2020,8,chantale
338,20201013181028chantale,1000304,4,2.5,10,10/13/2020,8,chantale
339,20201013183313chantale,1000215,1,0.2,0.2,10/13/2020,8,chantale
340,20201013183738chantale,1000032,1,0.5,0.5,10/13/2020,8,chantale
341,20201013183925chantale,1000304,2,2.5,5,10/13/2020,8,chantale
342,20201013195241gloire,1000214,1,1,1,10/13/2020,1,gloire
343,20201013195337gloire,1000215,2,0.2,0.4,10/13/2020,1,gloire
344,20201013195614gloire,1000179,2,1.25,2.5,10/13/2020,1,gloire
345,20201013195614gloire,1000214,1,1,1,10/13/2020,1,gloire
346,20201013195614gloire,1000025,1,2.5,2.5,10/13/2020,1,gloire
